Winner,HeightDif,ReachDif,AgeDif,WinStreakDif,LossDif,SigStrDif,AvgTDDif,BlueAvgSigStrLanded,RedAvgSigStrLanded,BlueAvgSigStrPct,RedAvgSigStrPct,BlueAvgTDLanded,RedAvgTDLanded,BlueAvgTDPct,RedAvgTDPct,BlueAvgSubAtt,RedAvgSubAtt,TotalRoundDif,TotalTitleBoutDif,BlueWins,RedWins,BlueLosses,RedLosses,RedStance,BlueStance,RedOdds,BlueOdds,RedWeightLbs,BlueWeightLbs,RMatchWCRank,BMatchWCRank
Red,7.62,5.08,-3,-6,-3,-4.41,-2.61,0.0,4.41,0.0,0.49,0.0,2.61,0.0,0.47,0.0,0.8,-42,-3,0,12,0,3,Orthodox,Orthodox,-250.0,215.0,125,125,0.0,
Red,5.08,-7.62,-3,2,0,1.38,-0.72,5.5,4.12,0.55,0.61,0.77,1.49,0.55,0.29,0.3,1.8,9,0,8,6,0,0,Orthodox,Orthodox,-210.0,295.0,170,170,3.0,7.0
Red,7.62,-2.54,2,3,2,-0.36,-0.13,5.13,5.49,0.57,0.6,0.45,0.58,0.63,0.21,0.2,0.5,11,-3,12,9,4,2,Orthodox,Orthodox,-380.0,300.0,245,250,2.0,3.0
Red,-2.54,0.0,6,0,0,1.44,-2.98,3.74,2.3,0.44,0.58,0.47,3.45,0.25,0.41,0.5,1.6,-15,0,1,7,2,2,Southpaw,Southpaw,-950.0,625.0,145,145,13.0,
Blue,2.54,-5.08,-3,0,0,-1.84,-0.25,4.41,6.25,0.53,0.46,0.75,1.0,0.37,0.41,0.8,1.0,-2,0,4,5,3,3,Orthodox,Orthodox,-130.0,110.0,145,145,,
Red,0.0,-2.54,2,-1,8,-1.63,0.11,3.24,4.87,0.49,0.5,0.46,0.35,0.26,0.28,0.6,0.3,42,-1,15,7,12,4,Southpaw,Orthodox,-380.0,300.0,205,205,12.0,13.0
Red,5.08,5.08,0,4,-5,-1.96,3.89,3.11,5.07,0.61,0.52,4.89,1.0,0.65,0.53,0.6,0.6,-35,0,4,15,1,6,Orthodox,Orthodox,-650.0,-162.0,170,170,14.0,
Red,0.0,-2.54,5,-7,4,0.18,-2.44,4.61,4.43,0.52,0.48,2.31,4.75,0.27,0.46,0.7,0.2,33,5,16,8,4,0,Orthodox,Orthodox,-238.0,195.0,145,145,5.0,9.0
Blue,-5.08,-2.54,-4,0,-4,1.06,0.24,5.44,4.38,0.53,0.47,0.96,0.72,0.23,0.39,0.5,0.6,-27,0,6,13,1,5,Orthodox,Orthodox,150.0,-180.0,170,170,,
Blue,-2.54,-7.62,-3,0,1,0.23,-1.65,3.41,3.18,0.47,0.45,1.79,3.44,0.26,0.42,0.1,0.8,-2,-5,8,12,8,7,Orthodox,Southpaw,-112.0,-108.0,185,185,,
