Winner,HeightDif,ReachDif,AgeDif,LossDif,SigStrDif,AvgTDDif,TotalRoundDif,TotalTitleBoutDif,WeightDif,AvgSigStrPctDif,AvgTDPctDif,AvgSubAttDif,WinsDif,OddsDif,RankDif
1,10.16,-5.08,-1.0,1.0,-11.774999999999999,-0.07500000000000001,-5.0,-1.0,0.0,-0.024999999999999967,-0.037000000000000005,0.75,2.0,0.0,0
1,0.0,-2.54,0.0,2.0,21.416600000000003,0.6667000000000001,-20.0,0.0,0.0,-0.07200000000000001,0.14800000000000002,-0.8333,4.0,-400.0,0
0,0.0,-2.54,0.0,1.0,1.4499999999999997,-3.3499999999999996,-8.0,0.0,0.0,0.030000000000000027,0.0,0.0,2.0,230.0,0
1,-12.7,-15.24,-1.0,-1.0,13.5,1.55,1.0,0.0,0.0,0.007000000000000006,0.246,-0.025000000000000022,-2.0,-895.0,0
0,-5.08,-5.08,-6.0,11.0,0.11999999999999966,-1.0299999999999998,-72.0,-5.0,-13.0,-0.11999999999999994,-0.10000000000000003,-0.3,17.0,440.0,0
0,5.08,7.62,-1.0,-3.0,1.3768999999999991,-0.2885,14.0,1.0,-25.0,-0.07100000000000001,0.0030000000000000027,-1.15,-4.0,-660.0,-9.0
0,5.08,5.08,0.0,2.0,-0.5333000000000041,-0.13329999999999997,-5.0,-1.0,0.0,0.017000000000000015,-0.133,-0.3333,0.0,480.0,-3.0
1,-12.7,-10.16,0.0,1.0,0.23000000000000043,-0.10999999999999999,-16.0,0.0,0.0,-0.03999999999999998,-0.12000000000000002,0.19999999999999998,5.0,-385.0,16.0
1,-5.08,-12.7,-1.0,-2.0,-34.6667,0.4666999999999999,6.0,0.0,15.0,-0.15899999999999997,-0.16699999999999998,0.6,0.0,-520.0,0
0,-2.54,7.62,-6.0,8.0,3.0399999999999996,-1.0499999999999998,-48.0,0.0,10.0,-0.02999999999999997,-0.6699999999999999,-4.8,10.0,410.0,0
1,-5.08,-12.7,6.0,0.0,-1.0500000000000007,0.0,-13.0,-1.0,0.0,0.06,0.21000000000000002,0.30000000000000004,4.0,-306.0,-4.0
1,0.0,-10.16,1.0,0.0,-0.010000000000000675,4.58,2.0,0.0,-10.0,-0.07,-0.010000000000000009,0.4,0.0,-535.0,-1.0
1,5.08,0.0,-3.0,-1.0,6.200000000000003,-1.4,8.0,1.0,0.0,-0.05299999999999999,-0.16799999999999998,0.19999999999999996,-2.0,-610.0,0
1,0.0,-7.62,1.0,0.0,-1.0499999999999998,0.30999999999999994,0.0,0.0,34.0,-0.26,0.1,0.0,0.0,515.0,0
1,-10.16,-12.7,-2.0,-2.0,5.9,-0.67,6.0,0.0,0.0,0.13,-0.2,0.0,0.0,-14.0,0
0,2.54,12.7,4.0,7.0,-15.785699999999999,-1.1905000000000001,-39.0,1.0,0.0,-0.15999999999999998,-0.09500000000000003,0.4762,12.0,620.0,0
0,0.0,-5.08,1.0,3.0,-1.9500000000000002,-1.36,-32.0,0.0,0.0,-0.23000000000000004,0.14,-0.09999999999999998,7.0,1800.0,-1.0
1,2.54,0.0,4.0,-1.0,0.7599999999999998,-0.7999999999999998,3.0,0.0,0.0,-0.21999999999999997,-0.42,0.29999999999999993,0.0,-900.0,-9.0
0,5.08,5.08,5.0,7.0,0.21669999999999945,0.5166999999999999,-34.0,0.0,15.0,-0.024999999999999967,0.212,0.5,10.0,290.0,0
1,-7.62,0.0,1.0,2.0,4.02,-1.91,-10.0,0.0,0.0,0.15000000000000002,0.15999999999999998,-1.7,-1.0,-390.0,0
1,2.54,5.08,7.0,-1.0,8.642899999999997,0.3214,7.0,0.0,0.0,-0.10099999999999998,0.28700000000000003,-1.1429,-2.0,355.0,0
1,0.0,10.16,10.0,-1.0,-1.71,1.1199999999999999,6.0,0.0,0.0,-0.13000000000000006,0.18000000000000005,1.9,-1.0,-325.0,0
1,7.62,15.24,3.0,6.0,0.14440000000000097,0.4556,-25.0,-2.0,0.0,-0.178,0.04799999999999999,-0.7333000000000001,2.0,280.0,0
